epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4534,3.33502,4.25846,2.51849,0.04446,0.04115,0.01273,0.00363,3.11546,3.62204,2.69386,2e-05,2e-05,2e-05
2,112.607,3.10702,3.66108,2.53566,0.30454,0.21399,0.13528,0.03733,2.95452,2.60386,2.52893,5.802e-05,5.802e-05,5.802e-05
3,179.416,2.92793,2.59547,2.15824,0.28489,0.20576,0.15346,0.04011,2.71746,4.27022,2.25161,9.34e-05,9.34e-05,9.34e-05
4,234.096,2.73278,2.52535,2.13971,0.08983,0.2716,0.06134,0.01568,2.69856,21.5288,2.29451,0.00012614,0.00012614,0.00012614
5,288.531,2.55713,2.37305,1.75634,0.36969,0.23045,0.1839,0.05542,2.52145,4.18238,2.10279,0.00015624,0.00015624,0.00015624
6,335.801,2.37579,2.01461,1.68635,0.31133,0.24691,0.14808,0.05241,2.50894,2.98152,1.96818,0.0001837,0.0001837,0.0001837
7,382.191,2.2833,2.08204,1.70569,0.17846,0.17695,0.07468,0.02984,2.4187,5.3961,1.80164,0.00020852,0.00020852,0.00020852
8,430.329,2.10982,1.86231,1.59277,0.14962,0.38272,0.09035,0.03274,2.42378,4.85086,1.84371,0.0002307,0.0002307,0.0002307
9,478.495,2.12028,1.77876,1.57369,0.38511,0.32922,0.26367,0.09707,2.38538,2.2952,1.85208,0.00025024,0.00025024,0.00025024
10,525.502,2.21502,1.9214,1.66073,0.17206,0.30864,0.11521,0.04576,2.34557,4.32544,1.84557,0.00026714,0.00026714,0.00026714
11,573.023,2.05349,1.79629,1.51417,0.38158,0.31232,0.26947,0.10222,2.32897,2.57345,1.83705,0.0002814,0.0002814,0.0002814
12,617.944,1.93221,1.50525,1.34516,0.37797,0.35391,0.28883,0.1152,2.33441,2.68535,1.84758,0.00029302,0.00029302,0.00029302
13,662.877,1.86219,1.54578,1.42315,0.44432,0.3251,0.26947,0.11145,2.42719,2.70353,1.95176,0.000302,0.000302,0.000302
14,711.933,1.92841,1.52266,1.37165,0.51181,0.3883,0.30499,0.11909,2.41723,2.55897,1.97975,0.00030834,0.00030834,0.00030834
15,759.259,1.88639,1.42843,1.32177,0.44189,0.42387,0.30713,0.11259,2.42119,2.56259,2.0016,0.00031204,0.00031204,0.00031204
16,804.334,1.69404,1.30707,1.30241,0.40514,0.37037,0.30112,0.10998,2.2869,2.63916,1.89088,0.0003131,0.0003131,0.0003131
17,852.983,1.64247,1.14204,1.22061,0.25927,0.36214,0.18109,0.07661,2.12373,3.41519,1.7099,0.00031152,0.00031152,0.00031152
18,898.895,1.6401,1.21838,1.3269,0.18678,0.44033,0.13347,0.06121,1.98543,6.62067,1.58473,0.0003073,0.0003073,0.0003073
19,949.755,1.64507,1.17002,1.29283,0.3161,0.39563,0.21575,0.09567,1.95507,4.61078,1.52724,0.00030044,0.00030044,0.00030044
20,1002.98,1.73411,1.20135,1.29977,0.64301,0.50405,0.52188,0.25303,1.94363,1.68939,1.51497,0.00029094,0.00029094,0.00029094
21,1053.17,1.73345,1.27761,1.36151,0.7929,0.50617,0.64627,0.31825,1.88997,1.43768,1.48195,0.0002788,0.0002788,0.0002788
22,1103.83,1.66175,1.22129,1.26398,0.84547,0.51852,0.63637,0.33263,1.82894,1.49556,1.47653,0.00026402,0.00026402,0.00026402
23,1156.87,1.6095,1.12819,1.3441,0.74129,0.50703,0.61294,0.31695,1.7862,1.57471,1.44045,0.0002466,0.0002466,0.0002466
24,1206.14,1.6877,1.22752,1.43944,0.83257,0.58848,0.70477,0.36959,1.71424,1.38954,1.38958,0.00022654,0.00022654,0.00022654
25,1255.99,1.56201,1.10595,1.37584,0.86551,0.66667,0.78508,0.44513,1.58473,1.18083,1.30628,0.00020384,0.00020384,0.00020384
26,1307.39,1.50791,0.90136,1.26344,0.88668,0.70841,0.81578,0.47208,1.532,1.07569,1.26696,0.0001785,0.0001785,0.0001785
27,1359.58,1.64809,1.06409,1.36871,0.85836,0.76543,0.85082,0.49882,1.49276,0.98211,1.22755,0.00015052,0.00015052,0.00015052
28,1408.4,1.50946,0.93309,1.24506,0.85836,0.76543,0.85082,0.49882,1.49276,0.98211,1.22755,0.0001199,0.0001199,0.0001199
29,1464.64,1.50132,0.98764,1.20717,0.89839,0.76411,0.87411,0.52304,1.44577,0.91028,1.20139,8.664e-05,8.664e-05,8.664e-05
30,1512.22,1.55779,1.03228,1.314,0.90603,0.77778,0.89136,0.53805,1.41384,0.86555,1.18352,5.074e-05,5.074e-05,5.074e-05
